Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0155,PAIRED,ILLUMINA,,s3://mybucket23443243SRR2085095.1_1.fastq.gz,s3://mybucket23443243SRR2085095.1_2.fastq.gz
vp_0156,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982499.1_1.fastq.gz,s3://mybucket23443243SRR20982499.1_2.fastq.gz
vp_0157,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982500.1_1.fastq.gz,s3://mybucket23443243SRR20982500.1_2.fastq.gz
vp_0158,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982501.1_1.fastq.gz,s3://mybucket23443243SRR20982501.1_2.fastq.gz
vp_0159,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982502.1_1.fastq.gz,s3://mybucket23443243SRR20982502.1_2.fastq.gz
vp_0160,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982503.1_1.fastq.gz,s3://mybucket23443243SRR20982503.1_2.fastq.gz
vp_0161,PAIRED,ILLUMINA,,s3://mybucket23443243SRR20982504.1_1.fastq.gz,s3://mybucket23443243SRR20982504.1_2.fastq.gz
vp_0162,PAIRED,ILLUMINA,,s3://mybucket23443243SRR2136634.1_1.fastq.gz,s3://mybucket23443243SRR2136634.1_2.fastq.gz
vp_0163,PAIRED,ILLUMINA,,s3://mybucket23443243SRR2140570.1_1.fastq.gz,s3://mybucket23443243SRR2140570.1_2.fastq.gz
vp_0164,PAIRED,ILLUMINA,,s3://mybucket23443243SRR23356585.1_1.fastq.gz,s3://mybucket23443243SRR23356585.1_2.fastq.gz
vp_0165,PAIRED,ILLUMINA,,s3://mybucket23443243SRR23356586.1_1.fastq.gz,s3://mybucket23443243SRR23356586.1_2.fastq.gz
vp_0166,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567300.1_1.fastq.gz,s3://mybucket23443243SRR3567300.1_2.fastq.gz
vp_0167,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567364.1_1.fastq.gz,s3://mybucket23443243SRR3567364.1_2.fastq.gz
vp_0168,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567365.1_1.fastq.gz,s3://mybucket23443243SRR3567365.1_2.fastq.gz
vp_0169,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567367.1_1.fastq.gz,s3://mybucket23443243SRR3567367.1_2.fastq.gz
vp_0170,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567368.1_1.fastq.gz,s3://mybucket23443243SRR3567368.1_2.fastq.gz
vp_0171,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3567369.1_1.fastq.gz,s3://mybucket23443243SRR3567369.1_2.fastq.gz
vp_0172,PAIRED,ILLUMINA,,s3://mybucket23443243SRR3930563.1_1.fastq.gz,s3://mybucket23443243SRR3930563.1_2.fastq.gz
vp_0173,PAIRED,ILLUMINA,,s3://mybucket23443243SRR5720407.1_1.fastq.gz,s3://mybucket23443243SRR5720407.1_2.fastq.gz
vp_0174,PAIRED,ILLUMINA,,s3://mybucket23443243SRR5720408.1_1.fastq.gz,s3://mybucket23443243SRR5720408.1_2.fastq.gz
vp_0175,PAIRED,ILLUMINA,,s3://mybucket23443243SRR5720409.1_1.fastq.gz,s3://mybucket23443243SRR5720409.1_2.fastq.gz
vp_0176,PAIRED,ILLUMINA,,s3://mybucket23443243SRR5720410.1_1.fastq.gz,s3://mybucket23443243SRR5720410.1_2.fastq.gz
vp_0177,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6312083.1_1.fastq.gz,s3://mybucket23443243SRR6312083.1_2.fastq.gz
vp_0178,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6312084.1_1.fastq.gz,s3://mybucket23443243SRR6312084.1_2.fastq.gz
vp_0179,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6312085.1_1.fastq.gz,s3://mybucket23443243SRR6312085.1_2.fastq.gz
vp_0180,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6488512.1_1.fastq.gz,s3://mybucket23443243SRR6488512.1_2.fastq.gz
vp_0181,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6488513.1_1.fastq.gz,s3://mybucket23443243SRR6488513.1_2.fastq.gz
vp_0182,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6488514.1_1.fastq.gz,s3://mybucket23443243SRR6488514.1_2.fastq.gz
vp_0183,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6831311.1_1.fastq.gz,s3://mybucket23443243SRR6831311.1_2.fastq.gz
vp_0184,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6831312.1_1.fastq.gz,s3://mybucket23443243SRR6831312.1_2.fastq.gz
vp_0185,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6831313.1_1.fastq.gz,s3://mybucket23443243SRR6831313.1_2.fastq.gz
vp_0186,PAIRED,ILLUMINA,,s3://mybucket23443243SRR6831314.1_1.fastq.gz,s3://mybucket23443243SRR6831314.1_2.fastq.gz
vp_0187,SINGLE,ILLUMINA,,s3://mybucket23443243SRR1058062.2.fastq.gz,
vp_0188,SINGLE,ILLUMINA,,s3://mybucket23443243SRR1058063.2.fastq.gz,
vp_0189,SINGLE,ILLUMINA,,s3://mybucket23443243SRR16608235.1.fastq.gz,
vp_0190,SINGLE,ILLUMINA,,s3://mybucket23443243SRR16608236.1.fastq.gz,
vp_0191,SINGLE,ILLUMINA,,s3://mybucket23443243SRR16608237.1.fastq.gz,
vp_0192,SINGLE,ILLUMINA,,s3://mybucket23443243SRR16608238.1.fastq.gz,
vp_0193,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061298.1.fastq.gz,
vp_0194,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061299.1.fastq.gz,
vp_0195,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061300.1.fastq.gz,
vp_0196,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061301.1.fastq.gz,
vp_0197,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061302.1.fastq.gz,
vp_0198,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061303.1.fastq.gz,
vp_0199,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061304.1.fastq.gz,
vp_0200,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061305.1.fastq.gz,
vp_0201,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061306.1.fastq.gz,
vp_0202,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061307.1.fastq.gz,
vp_0203,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061308.1.fastq.gz,
vp_0204,SINGLE,ILLUMINA,,s3://mybucket23443243SRR22061309.1.fastq.gz,
vp_0205,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127059.1.fastq.gz,
vp_0206,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127060.1.fastq.gz,
vp_0207,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127061.1.fastq.gz,
vp_0208,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127062.1.fastq.gz,
vp_0209,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127063.1.fastq.gz,
vp_0210,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5127064.1.fastq.gz,
